,Region,Date,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Regional
0,Andhra Pradesh,2019-05-31,3.65,11999139.0,43.24,Rural,South
1,Andhra Pradesh,2019-06-30,3.05,11755881.0,42.05,Rural,South
2,Andhra Pradesh,2019-07-31,3.75,12086707.0,43.5,Rural,South
3,Andhra Pradesh,2019-08-31,3.32,12285693.0,43.97,Rural,South
4,Andhra Pradesh,2019-09-30,5.17,12256762.0,44.68,Rural,South
5,Andhra Pradesh,2019-10-31,3.52,12017412.0,43.01,Rural,South
6,Andhra Pradesh,2019-11-30,4.12,11397681.0,41.0,Rural,South
7,Andhra Pradesh,2019-12-31,4.38,12528395.0,45.14,Rural,South
8,Andhra Pradesh,2019-05-31,6.09,4788661.0,37.45,Urban,South
9,Andhra Pradesh,2019-06-30,3.8,4824630.0,36.76,Urban,South
10,Andhra Pradesh,2019-07-31,5.64,4657443.0,36.1,Urban,South
11,Andhra Pradesh,2019-08-31,4.61,4743179.0,36.29,Urban,South
12,Andhra Pradesh,2019-09-30,6.01,4733996.0,36.69,Urban,South
13,Andhra Pradesh,2019-10-31,4.7,4774377.0,36.41,Urban,South
14,Andhra Pradesh,2019-11-30,7.54,4668772.0,36.62,Urban,South
15,Andhra Pradesh,2019-12-31,7.88,4913963.0,38.61,Urban,South
16,Andhra Pradesh,2020-01-31,5.48,16635535.0,41.02,Urban,South
17,Andhra Pradesh,2020-02-29,5.83,16545652.0,40.9,Urban,South
18,Andhra Pradesh,2020-03-31,5.79,15881197.0,39.18,Urban,South
19,Andhra Pradesh,2020-04-30,20.51,11336911.0,33.1,Urban,South
20,Andhra Pradesh,2020-05-31,17.43,12988845.0,36.46,Urban,South
21,Andhra Pradesh,2020-06-30,3.31,19805400.0,47.41,Urban,South
22,Andhra Pradesh,2020-07-31,8.34,15431615.0,38.91,Urban,South
23,Andhra Pradesh,2020-08-31,6.96,15251776.0,37.83,Urban,South
24,Andhra Pradesh,2020-09-30,6.4,15220312.0,37.47,Urban,South
25,Andhra Pradesh,2020-10-31,6.59,15157557.0,37.34,Urban,South
26,Assam,2019-05-31,4.29,11749334.0,57.39,Rural,Northeast
27,Assam,2019-06-30,5.08,8923222.0,43.87,Rural,Northeast
28,Assam,2019-07-31,4.26,9911534.0,48.21,Rural,Northeast
29,Assam,2019-08-31,5.79,9292039.0,45.83,Rural,Northeast
30,Assam,2019-09-30,4.46,11468349.0,55.67,Rural,Northeast
31,Assam,2019-10-31,4.65,8395906.0,40.76,Rural,Northeast
32,Assam,2019-11-30,4.66,9625362.0,46.64,Rural,Northeast
33,Assam,2019-05-31,7.87,1671707.0,44.92,Urban,Northeast
34,Assam,2019-06-30,9.89,1647342.0,45.17,Urban,Northeast
35,Assam,2019-07-31,3.21,1739838.0,44.32,Urban,Northeast
36,Assam,2019-08-31,10.39,1595582.0,43.81,Urban,Northeast
37,Assam,2019-09-30,9.26,1576480.0,42.66,Urban,Northeast
38,Assam,2019-10-31,11.17,1595176.0,44.01,Urban,Northeast
39,Assam,2019-11-30,6.31,1708045.0,44.59,Urban,Northeast
40,Assam,2019-12-31,5.02,1722303.0,44.26,Urban,Northeast
41,Assam,2020-01-31,4.66,13051904.0,52.98,Urban,Northeast
42,Assam,2020-02-29,4.41,10088268.0,40.77,Urban,Northeast
43,Assam,2020-03-31,4.77,11542888.0,46.73,Urban,Northeast
44,Assam,2020-04-30,11.06,6830817.0,29.55,Urban,Northeast
45,Assam,2020-05-31,9.55,11367897.0,48.26,Urban,Northeast
46,Assam,2020-06-30,0.6,9095944.0,35.07,Urban,Northeast
47,Assam,2020-07-31,3.77,10286757.0,40.88,Urban,Northeast
48,Assam,2020-08-31,5.53,9781310.0,39.52,Urban,Northeast
49,Assam,2020-09-30,1.19,14107641.0,54.38,Urban,Northeast
50,Assam,2020-10-31,3.02,11949329.0,46.84,Urban,Northeast
51,Bihar,2019-05-31,9.27,24322330.0,39.75,Rural,East
52,Bihar,2019-06-30,10.2,24097712.0,39.71,Rural,East
53,Bihar,2019-07-31,13.44,23248875.0,39.66,Rural,East
54,Bihar,2019-08-31,11.0,22260203.0,36.85,Rural,East
55,Bihar,2019-09-30,8.87,23905700.0,38.57,Rural,East
56,Bihar,2019-10-31,12.47,24053140.0,40.31,Rural,East
57,Bihar,2019-11-30,12.4,22445989.0,37.51,Rural,East
58,Bihar,2019-12-31,10.16,22914530.0,37.25,Rural,East
59,Bihar,2019-05-31,19.9,3029344.0,39.8,Urban,East
60,Bihar,2019-06-30,13.29,3248864.0,39.35,Urban,East
61,Bihar,2019-07-31,16.41,3059744.0,38.36,Urban,East
62,Bihar,2019-08-31,17.66,2994763.0,38.03,Urban,East
63,Bihar,2019-09-30,20.46,2992082.0,39.25,Urban,East
64,Bihar,2019-10-31,14.06,3173429.0,38.45,Urban,East
65,Bihar,2019-11-30,17.62,3081077.0,38.86,Urban,East
66,Bihar,2019-12-31,14.91,2977857.0,36.29,Urban,East
67,Bihar,2020-01-31,10.61,26397671.0,37.72,Urban,East
68,Bihar,2020-02-29,10.29,26281655.0,37.35,Urban,East
69,Bihar,2020-03-31,15.43,25717519.0,38.69,Urban,East
70,Bihar,2020-04-30,46.64,16046236.0,38.17,Urban,East
71,Bihar,2020-05-31,45.96,16280203.0,38.16,Urban,East
72,Bihar,2020-06-30,17.82,23963933.0,36.86,Urban,East
73,Bihar,2020-07-31,12.79,24989370.0,36.14,Urban,East
74,Bihar,2020-08-31,13.44,23795534.0,34.59,Urban,East
75,Bihar,2020-09-30,11.91,26902907.0,38.35,Urban,East
76,Bihar,2020-10-31,9.82,25693252.0,35.7,Urban,East
77,Chhattisgarh,2019-05-31,9.82,6259019.0,42.89,Rural,West
78,Chhattisgarh,2019-06-30,6.76,6608626.0,43.71,Rural,West
79,Chhattisgarh,2019-07-31,4.54,6753622.0,43.53,Rural,West
80,Chhattisgarh,2019-08-31,4.64,6607694.0,42.55,Rural,West
81,Chhattisgarh,2019-09-30,8.33,6490776.0,43.38,Rural,West
82,Chhattisgarh,2019-10-31,6.96,7043840.0,46.28,Rural,West
83,Chhattisgarh,2019-11-30,2.77,6942931.0,43.56,Rural,West
84,Chhattisgarh,2019-12-31,6.11,6569385.0,42.59,Rural,West
85,Chhattisgarh,2019-05-31,9.77,2223129.0,45.61,Urban,West
86,Chhattisgarh,2019-06-30,11.77,2192020.0,45.88,Urban,West
87,Chhattisgarh,2019-07-31,8.17,2285436.0,45.85,Urban,West
88,Chhattisgarh,2019-08-31,6.29,2392400.0,46.91,Urban,West
89,Chhattisgarh,2019-09-30,9.46,2311507.0,46.8,Urban,West
90,Chhattisgarh,2019-10-31,10.27,2297096.0,46.82,Urban,West
91,Chhattisgarh,2019-11-30,8.32,2341284.0,46.59,Urban,West
92,Chhattisgarh,2019-12-31,3.57,2415436.0,45.59,Urban,West
93,Chhattisgarh,2020-01-31,9.65,8552172.0,43.08,Urban,West
94,Chhattisgarh,2020-02-29,8.38,9195114.0,45.58,Urban,West
95,Chhattisgarh,2020-03-31,7.54,9302317.0,45.59,Urban,West
96,Chhattisgarh,2020-04-30,3.41,7600448.0,35.58,Urban,West
97,Chhattisgarh,2020-05-31,10.5,6991217.0,35.23,Urban,West
98,Chhattisgarh,2020-06-30,14.23,7332807.0,38.48,Urban,West
99,Chhattisgarh,2020-07-31,10.27,8620294.0,43.14,Urban,West
100,Chhattisgarh,2020-08-31,5.63,9050422.0,42.97,Urban,West
101,Chhattisgarh,2020-09-30,1.96,9021854.0,41.14,Urban,West
102,Chhattisgarh,2020-10-31,6.62,8546847.0,40.82,Urban,West
103,Delhi,2019-05-31,12.56,169487.0,42.33,Rural,North
104,Delhi,2019-06-30,9.33,149076.0,35.74,Rural,North
105,Delhi,2019-07-31,11.07,166605.0,40.53,Rural,North
106,Delhi,2019-08-31,17.18,135407.0,35.21,Rural,North
107,Delhi,2019-09-30,12.5,166056.0,40.68,Rural,North
108,Delhi,2019-10-31,15.84,149511.0,37.9,Rural,North
109,Delhi,2019-11-30,11.11,178768.0,42.71,Rural,North
110,Delhi,2019-12-31,16.97,145671.0,37.08,Rural,North
111,Delhi,2019-05-31,12.31,5756475.0,44.17,Urban,North
112,Delhi,2019-06-30,12.76,5550172.0,42.71,Urban,North
113,Delhi,2019-07-31,14.68,5393091.0,42.34,Urban,North
114,Delhi,2019-08-31,13.52,5552510.0,42.9,Urban,North
115,Delhi,2019-09-30,20.59,5642253.0,47.36,Urban,North
116,Delhi,2019-10-31,12.41,6030363.0,45.78,Urban,North
117,Delhi,2019-11-30,16.11,5439600.0,43.02,Urban,North
118,Delhi,2019-12-31,11.07,5718337.0,42.56,Urban,North
119,Delhi,2020-01-31,22.23,5805284.0,47.79,Urban,North
120,Delhi,2020-02-29,14.84,5856307.0,43.92,Urban,North
121,Delhi,2020-03-31,17.04,5553805.0,42.65,Urban,North
122,Delhi,2020-04-30,16.68,3119274.0,23.8,Urban,North
123,Delhi,2020-05-31,42.27,2632404.0,28.91,Urban,North
124,Delhi,2020-06-30,18.19,4418914.0,34.17,Urban,North
125,Delhi,2020-07-31,20.3,4291053.0,33.97,Urban,North
126,Delhi,2020-08-31,13.79,4850107.0,35.41,Urban,North
127,Delhi,2020-09-30,12.53,4958373.0,35.59,Urban,North
128,Delhi,2020-10-31,6.27,4842698.0,32.36,Urban,North
129,Goa,2019-05-31,2.91,179340.0,39.16,Rural,West
130,Goa,2019-06-30,5.45,170471.0,38.19,Rural,West
131,Goa,2019-07-31,10.98,167437.0,39.81,Rural,West
132,Goa,2019-08-31,1.98,183603.0,39.61,Rural,West
133,Goa,2019-09-30,3.61,163215.0,35.78,Rural,West
134,Goa,2019-10-31,7.21,177440.0,40.36,Rural,West
135,Goa,2019-11-30,23.71,159489.0,44.09,Rural,West
136,Goa,2019-12-31,3.54,177155.0,38.7,Rural,West
137,Goa,2019-05-31,2.75,264855.0,34.17,Urban,West
138,Goa,2019-06-30,13.33,304015.0,43.96,Urban,West
139,Goa,2019-07-31,12.28,280367.0,40.0,Urban,West
140,Goa,2019-08-31,4.9,243277.0,31.97,Urban,West
141,Goa,2019-09-30,3.16,309643.0,39.92,Urban,West
142,Goa,2019-10-31,12.31,290264.0,41.27,Urban,West
143,Goa,2019-11-30,25.2,271612.0,45.22,Urban,West
144,Goa,2019-12-31,16.22,288154.0,42.77,Urban,West
145,Goa,2020-01-31,8.89,416750.0,35.73,Urban,West
146,Goa,2020-02-29,2.81,478068.0,38.38,Urban,West
147,Goa,2020-03-31,5.25,411761.0,33.88,Urban,West
148,Goa,2020-04-30,13.31,500614.0,44.97,Urban,West
149,Goa,2020-05-31,21.25,378244.0,37.36,Urban,West
150,Goa,2020-06-30,9.96,489111.0,42.21,Urban,West
151,Goa,2020-07-31,17.07,458876.0,42.94,Urban,West
152,Goa,2020-08-31,16.21,473016.0,43.76,Urban,West
153,Goa,2020-09-30,15.38,425004.0,38.89,Urban,West
154,Goa,2020-10-31,11.54,392304.0,34.3,Urban,West
155,Gujarat,2019-05-31,2.88,13954728.0,52.03,Rural,West
156,Gujarat,2019-06-30,4.77,13199281.0,50.12,Rural,West
157,Gujarat,2019-07-31,4.58,14327083.0,54.21,Rural,West
158,Gujarat,2019-08-31,3.7,13507342.0,50.57,Rural,West
159,Gujarat,2019-09-30,6.29,13280783.0,51.01,Rural,West
160,Gujarat,2019-10-31,4.91,13828512.0,52.27,Rural,West
161,Gujarat,2019-11-30,4.68,14487815.0,54.55,Rural,West
162,Gujarat,2019-12-31,3.46,13877825.0,51.51,Rural,West
163,Gujarat,2019-05-31,4.09,9686558.0,41.67,Urban,West
164,Gujarat,2019-06-30,6.31,10144965.0,44.57,Urban,West
165,Gujarat,2019-07-31,5.15,9828023.0,42.54,Urban,West
166,Gujarat,2019-08-31,4.2,10228154.0,43.72,Urban,West
167,Gujarat,2019-09-30,5.96,9609939.0,41.75,Urban,West
168,Gujarat,2019-10-31,5.45,10474217.0,45.14,Urban,West
169,Gujarat,2019-11-30,7.53,9896129.0,43.5,Urban,West
170,Gujarat,2019-12-31,5.71,10172812.0,43.75,Urban,West
171,Gujarat,2020-01-31,5.54,24126346.0,48.49,Urban,West
172,Gujarat,2020-02-29,6.38,24757795.0,50.11,Urban,West
173,Gujarat,2020-03-31,6.66,23566641.0,47.75,Urban,West
174,Gujarat,2020-04-30,18.71,15288878.0,35.5,Urban,West
175,Gujarat,2020-05-31,12.11,17836936.0,38.23,Urban,West
176,Gujarat,2020-06-30,3.2,23657055.0,45.96,Urban,West
